x0000,y0000
2537,10.26573669,
2538,10.2656269,
2539,10.26557439,
2540,10.26579875,
2541,10.26562212,
2542,10.26570805,
2543,10.26567941,
2544,10.26583694,
2545,10.26577011,
2546,10.26594196,
2547,10.2657892,
2548,10.26588945,
2549,10.26575101,
2550,10.26578443,
2551,10.26586558,
2552,10.26577011,
2553,10.26529274,
2554,10.26577488,
2555,10.26561735,
2556,5.140692338,
2557,5.142143524,
2558,5.142706814,
2559,5.143002779,
2560,5.143260556,
2561,5.143480143,
2562,5.143570842,
2563,5.143499237,
2564,5.143599484,
2565,5.143838166,
2566,5.143895449,
2567,5.143842939,
2568,5.143847713,
2569,5.144010017,
2570,5.143919318,
2571,5.143871581,
2572,5.143914544,
2573,5.144229604,
2574,5.144186641,
2575,5.144220057,
2576,5.144177094,
2577,5.144157999,
2578,5.144138905,
2579,5.144181868,
2580,5.144449191,
2581,5.144411002,
2582,5.144310756,
2583,5.144482607,
2584,5.144153226,
2585,5.144439644,
2586,5.144444418,
2587,5.14427734,
2588,5.144430097,
2589,10.27061058,
2590,10.26789438,
2591,10.2672022,
2592,10.26719265,
2593,10.26682986,
2594,10.26658163,
2595,10.26636204,
2596,10.26620928,
2597,10.2663143,
2598,10.26624747,
2599,10.26636681,
2600,10.26596105,
2601,10.2662236,
2602,10.26634772,
2603,10.26625225,
2604,10.26621883,
2605,10.26581307,
2606,10.2658083,
2607,10.26586558,
2608,10.26589422,
2609,10.266152,
2610,10.26591332,
2611,10.26581307,
2612,10.2659706,
2613,10.26594673,
2614,10.2657892,
2615,10.26587513,
2616,10.26591332,
2617,10.26557916,
2618,10.26584649,
2619,10.26576533,
2620,10.26586558,
2621,10.2657176,
2622,7.416481188,
2623,5.142401301,
2624,5.142845249,
2625,5.143165083,
2626,5.143270103,
2627,5.143413312,
2628,5.143499237,
2629,5.143742693,
2630,5.143513558,
2631,5.143723598,
2632,5.144033885,
2633,5.143838166,
2634,5.143666315,
2635,5.143885902,
2636,5.143776108,
2637,5.14401479,
2638,5.144153226,
2639,5.144210509,
2640,5.144196189,
2641,5.144286888,
2642,5.14452557,
2643,5.144458739,
2644,5.144220057,
2645,5.144272567,
2646,5.144181868,
2647,5.144549438,
2648,5.144305982,
2649,5.144544664,
2650,5.144616269,
2651,5.144463512,
2652,5.14453989,
2653,5.14432985,
2654,5.144348945,
2655,10.26993749,
2656,10.26782755,
2657,10.2672022,
2658,10.26700171,
2659,10.26662459,
2660,10.26693965,
2661,10.26664368,
2662,10.26620451,
2663,10.26645751,
2664,10.2660613,
2665,10.26612813,
2666,10.2662236,
2667,10.2662427,
2668,10.2660613,
2669,10.26611381,
2670,10.26586558,
2671,10.26608994,
2672,10.26611381,
2673,10.26595151,
2674,10.2663334,
2675,10.2661329,
2676,10.26611381,
2677,10.265899,
2678,10.2658799,
2679,10.26589422,
2680,10.26618541,
2681,10.26573669,
2682,10.26568418,
2683,10.26595628,
2684,10.26592764,
2685,10.26582262,
2686,10.26584171,
2687,10.2656078,
2688,5.139532344,
2689,5.142129203,
2690,5.142062372,
2691,5.143079157,
2692,5.143270103,
2693,5.143441954,
2694,5.143661541,
2695,5.143513558,
2696,5.143718825,
2697,5.143623352,
2698,5.143776108,
2699,5.14369973,
2700,5.143761788,
2701,5.143771335,
2702,5.143862034,
2703,5.143990922,
2704,5.144143679,
2705,5.144220057,
2706,5.1440673,
2707,5.143833392,
2708,5.144062527,
2709,5.144239151,
2710,5.144038659,
2711,5.144320303,
2712,5.144453965,
2713,5.144253472,
2714,5.144100716,
2715,5.144468286,
2716,5.144377587,
2717,5.14432985,
2718,5.144196189,
2719,5.144234378,
2720,5.144348945,
2721,5.14452557,
2722,10.26861042,
2723,10.26767956,
2724,10.26688237,
